Item_ID,Item_Store_Sales
FDW58,1649.27
FDH56,1852.05
FDW59,669.12
FDH57,1979.67
FDW60,755.73
FDH58,2393.85
FDW61,2867.61
FDH59,2943.59
FDW62,3859.19
FDH60,769.01
FDW63,3040.99
FDH61,772.77
FDW64,2496.87
FDH62,4101.39
FDW65,2193.57
FDH63,2788.26
FDW66,432.94
FDH64,1850.56
FDW67,2084.01
FDH65,1556.29
FDW68,3573.61
FDH66,3919.51
FDW69,2072.42
FDH67,906.93
FDW70,1645.53
FDH68,3023.56
FDW71,3044.81
FDH69,583.78
FDW72,2563.39
FDH70,4498.19
FDW73,3292.95
FDH71,3005.69
FDW74,1818.51
FDH72,4465.82
FDW75,2705.40
FDH73,2518.96
FDW76,2370.34
FDH74,1522.83
FDW77,1614.96
FDH75,3075.43
FDW78,1729.79
FDH76,4011.82
FDW79,3414.01
FDH77,1514.99
FDW80,1896.57
FDH78,809.45
FDW81,2160.32
FDH79,1251.14
FDW82,2117.95
FDH80,2237.71
FDW83,815.00
FDH81,3619.42
FDW84,3410.75
FDH82,1503.65
FDW85,912.80
FDH83,1320.28
FDW86,1592.94
FDH84,1454.24
FDW87,1389.08
FDH85,3442.81
FDW88,411.85
FDH86,1362.74
FDW89,1588.82
FDH87,2693.43
FDW90,2068.06
FDH88,1770.51
FDW91,1313.52
FDH89,411.78
FDW92,1231.54
FDH90,2274.04
FDW93,656.47
FDH91,1650.18
FDW94,2045.44
FDH92,1328.10
FDW95,2414.61
FDH93,2146.15
FDW96,4404.11
FDH94,2454.12
FDW97,2106.11
FDH95,648.11
FDW98,1078.91
FDH96,878.56
FDW99,3368.80
FDH97,4092.47
FDW100,3630.78
FDH98,1056.49
FDW101,2725.49
FDH99,3289.39
FDW102,1705.25
FDH100,3020.04
FDW103,4187.43
FDH101,1556.71
FDW104,3142.69
FDH102,4064.82
FDW105,3962.27
FDH103,2892.64
FDW106,1586.99
FDH104,3196.50
FDW107,2311.97
FDH105,762.80
FDW108,2832.17
FDH106,1791.24
FDW109,1938.48
FDH107,4256.25
FDW110,3162.99
FDH108,1990.95
FDW111,2983.41
FDH109,4176.23
FDW112,2479.96
FDH110,3675.19
FDW113,2387.99
FDH111,3006.19
FDW114,3092.75
FDH112,1362.15
FDW115,3328.79
FDH113,2458.66
FDW116,4169.32
FDH114,1499.65
FDW117,1183.57
FDH115,1965.62
FDW118,2111.14
FDH116,765.31
FDW119,664.68
FDH117,1524.81
FDW120,4428.16
FDH118,1150.19
FDW121,645.88
FDH119,2370.06
FDW122,2515.47
FDH120,3178.16
FDW123,3039.75
FDH121,2667.63
FDW124,1729.31
FDH122,2237.02
FDW125,799.22
FDH123,1269.15
FDW126,2775.33
FDH124,2050.95
FDW127,1816.22
FDH125,2871.57
FDW128,2293.66
FDH126,4076.94
FDW129,1398.22
FDH127,699.96
FDW130,930.89
FDH128,613.24
FDW131,1953.73
FDH129,1749.14
FDW132,2849.03
FDH130,427.30
FDW133,3486.47
FDH131,1777.87
FDW134,1407.12
FDH132,2582.09
FDW135,1536.74
FDH133,2657.54
FDW136,1294.46
FDH134,3771.79
FDW137,1838.37
FDH135,1239.42
FDW138,3337.99
FDH136,1797.35
FDW139,1563.37
FDH137,1695.09
FDW140,3014.33
FDH138,2658.68
FDW141,861.42
FDH139,431.19
FDW142,2818.83
FDH140,2723.05
FDW143,3762.49
FDH141,1643.95
FDW144,2701.23
FDH142,1691.86
FDW145,661.75
FDH143,594.02
FDW146,3524.77
FDH144,3125.44
FDW147,2581.96
FDH145,2675.04
FDW148,2262.50
FDH146,1360.55
FDW149,426.93
FDH147,1790.69
FDW150,1629.21
FDH148,1621.51
FDW151,2379.06
FDH149,2745.34
FDW152,1424.44
FDH150,1592.78
FDW153,3353.40
FDH151,2634.07
FDW154,2046.67
FDH152,3384.77
FDW155,4285.36
FDH153,2512.14
FDW156,1248.41
FDH154,1661.76
FDW157,2249.07
FDH155,702.20
FDW158,2671.40
FDH156,2870.59
FDW159,802.99
FDH157,3099.35
FDW160,2731.52
FDH158,2980.54
FDW161,1539.00
FDH159,3544.78
FDW162,720.00
FDH160,1671.91
FDW163,1196.12
FDH161,2142.18
FDW164,2150.01
FDH162,3466.86
FDW165,3972.45
FDH163,1231.79
FDW166,974.70
FDH164,1309.38
FDW167,2716.90
FDH165,2002.19
FDW168,2965.35
FDH166,1446.30
FDW169,2491.93
FDH167,2780.09
FDW170,649.14
FDH168,1510.88
FDW171,2816.15
FDH169,1991.13
FDW172,2734.65
FDH170,4053.36
FDW173,2214.86
FDH171,3085.53
FDW174,1446.19
FDH172,1352.95
FDW175,3524.25
FDH173,1647.62
FDW176,2478.99
FDH174,987.20
FDW177,2261.84
FDH175,4293.34
FDW178,4162.75
FDH176,1467.07
FDW179,2395.67
FDH177,3013.83
FDW180,3023.83
FDH178,1398.53
FDW181,4029.75
FDH179,3513.91
FDW182,1539.48
FDH180,2604.09
FDW183,3953.26
FDH181,1298.13
FDW184,1965.70
FDH182,3508.79
FDW185,2417.93
FDH183,2216.97
FDW186,1236.39
FDH184,715.68
FDW187,3148.45
FDH185,1934.15
FDW188,3396.63
FDH186,2729.97
FDW189,4018.73
FDH187,676.13
FDW190,641.01
FDH188,2093.42
FDW191,2686.34
FDH189,3207.83
FDW192,1579.07
FDH190,3787.07
FDW193,2877.71
FDH191,1350.28
FDW194,3948.22
FDH192,2488.93
FDW195,3817.92
FDH193,4241.33
FDW196,1830.57
FDH194,2195.50
FDW197,1389.41
FDH195,2641.17
FDW198,3225.67
FDH196,919.08
FDW199,3168.79
FDH197,2961.41
FDW200,3414.97
FDH198,3602.87
